Segment,Segment Name,Time Period,date_end,Date End,FY,Date Month,Avg Paid Invoice Amt,Avg SR Amt,Avg. Intuit Paid Inv Amt,Avg. Intut Paid SR Amt,Eco Invoice Actives 31D,Intuit Paid Inv per Active,Intuit Paid SR per Active,cc_actives_31d,active_cohorted_churn,passive_cohorted_churn,hvc_cohorted_churn,non_hvc_cohorted_churn,active_cohorted_churn_py,passive_cohorted_churn_py,hvc_cohorted_churn_py,non_hvc_cohorted_churn_py,qbo_active_cohorted_churn,qbo_active_cohorted_churn_py,pymt_active_cohorted_churn,pymt_active_cohorted_churn_py,Eco TPV 31d Absolute,CC TPV 31d Absolute,ACH TPV 31d Absolute,Eco Actives 31d Absolute,Eco Txns 31d Absolute,CC Txns 31d Absolute,ACH Txns 31d Absolute,Eco Invoice Amount 31d Absolute,Eco Sales Receipt Amount 31d Absolute,Eco Recurring Invoice Amount 31d Absolute,Eco CP Recurring Invoice Amount 31d Absolute,Eco Non-Recurring Invoice Amount 31d Absolute,Eco CP Amount 31d Absolute,Eco Non-CP Amount 31d Absolute,Eco Invoice Txns 31d Absolute,Eco Sales Receipt Txns 31d Absolute,Eco Recurring Invoice Txns 31d Absolute,Eco CP Recurring Invoice Txns 31d Absolute,Eco Non-Recurring Invoice Txns 31d Absolute,Eco CP Txns 31d Absolute,Eco Non-CP Txns 31d Absolute,31d Active Repeat Absolute,31d Active Lapse Absolute,31d Active Resurrect Absolute,31d Active GNA Absolute,31d Repeat CV Absolute,31d Lapse CV Absolute,31d Resurrect CV Absolute,31d GNA CV Absolute,31d Repeat Txn Absolute,31d Lapse Txn Absolute,31d Resurrect Txn Absolute,31d GNA Txn Absolute
Unclassified,Bank Transfer & Card Distribution,Week,2024-06-15,2024-06-15,FY24,6,2705.390438,433.859854,null,null,0,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bank & Card Blended,Bank Transfer & Card Distribution,Week,2024-06-15,2024-06-15,FY24,6,1818.799218,375.05833,1287.943788,482.3864637,75945,19.96354375,3.352277373,48386,1,1,1,1,1,1,1,1,1,1,1,1,2002031167,942375292.7,754877071.1,51013,1652590,701074,348556,1132212647,116547532.6,86638588.1,73596974,1749963349,1435558996,360943432.1,1023271,174653,153669,87946,1208291,924944,402702,43975,0,2249,773,1355995299,2,19953588,11811610,1111463,2,7620,5732
ACH between 70% to <100%,Bank Transfer & Card Distribution,Week,2024-06-15,2024-06-15,FY24,6,3109.326285,432.580303,2119.526132,655.2088286,66722,20.48537756,3.734249605,43052,1,1,1,1,1,1,1,1,1,1,1,1,3179527925,312631592.9,2075639008,45639,1558828,239482,657578,1769098902,156292001.2,104114720.4,91063009.6,2652271351,2335277382,379035135.3,935969,176024,140526,78438,1113604,870739,389729,37710,0,1878,607,2136192230,0,27061282,15620581,1041501,0,6405,5210
CC between 70% to <100%,Bank Transfer & Card Distribution,Week,2024-06-15,2024-06-15,FY24,6,873.6935833,274.381519,649.4768074,303.256463,110524,38.31671838,6.700071588,69120,1,1,1,1,1,1,1,1,1,1,1,1,2759165004,2373611488,261196774.7,71236,4706646,2782894,256692,1561831130,210188743.9,120031424.1,96358379.04,2383782742,1782314172,736539793.6,2711193,478004,418827,259556,3404260,2510872,1310864,64634,0,1596,915,1931450111,0,16005763,15664698,3171932,0,9478,18822
CC 100%,Bank Transfer & Card Distribution,Week,2024-06-15,2024-06-15,FY24,6,1208.719168,239.12153,906.628761,304.1094822,307508,7.45216412,3.00632449,207170,1,1,1,1,1,1,1,1,1,1,1,1,2294436916,2168385032,0,223840,3021920,2088488,0,1223832908,270755266.6,34382210.98,26788422.52,1946026984,1416391776,727880889.1,1600079,668278,76105,42080,2038117,1293489,1259976,152544,0,39774,14105,1386693277,55,139572213,70023117,1986765,50,73747,44264
Non-MAIP & Mixed ACH 100%,Bank Transfer & Card Distribution,Week,2024-06-15,2024-06-15,FY24,6,4744.619112,473.359349,3291.071916,1033.458355,140300,6.169234334,0.7149867008,92460,1,1,1,1,1,1,1,1,1,1,1,1,2811652601,0,2137434100,97383,914982,0,490668,1689920481,100274171.8,124461783.3,112426015.5,2438284429,2278911184,191283158.2,550165,68911,95900,58921,683239,600202,146183,70251,0,15734,4059,1773707322,6,147311792,48273444,568688,5,26329,9600
All Segments,Aggregate,Week,2024-06-22,2024-06-22,FY24,6,1721.844844,342.700364,1184.845598,397.9344037,682593,14.20272369,3.235771485,455515,1,1,1,1,1,1,1,1,1,1,1,1,13170260908,5911416395,5116292130,490812,11783111,5769864,1721072,7513680714,859419643.5,462570997.9,407149066.7,11188677163,9250547652,2511712094,7005052,1548961,901345,551710,8259167,6317024,3479692,374410,0,59338,20179,8503019653,84,344111160,157620442,7910010,61,118408,83434
Unclassified,Bank Transfer & Card Distribution,Week,2024-06-29,2024-06-29,FY24,6,2780.706691,403.207038,null,null,0,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bank & Card Blended,Bank Transfer & Card Distribution,Week,2024-06-29,2024-06-29,FY24,6,1731.496214,356.373105,1267.291437,505.9581035,75079,19.92419646,3.38470377,48459,1,1,1,1,1,1,1,1,1,1,1,1,2081362528,989487351.8,766899113.6,51105,1749332,724922,362108,1181063328,131048392.5,89472918.37,76950748.95,1813297935,1463695354,389258948.6,1028125,185305,161422,94199,1273364,982178,437670,43991,0,2434,856,1380834153,0,23462186,14650512,1188552,0,8467,7501
ACH between 70% to <100%,Bank Transfer & Card Distribution,Week,2024-06-29,2024-06-29,FY24,6,3244.375872,467.028845,2152.717647,657.7966151,68823,21.49247456,3.865068061,42337,1,1,1,1,1,1,1,1,1,1,1,1,3251054457,332273543.6,2223161524,44936,1619064,251969,709768,1900385433,164327499.7,111369672.4,98099885.2,2944972424,2427456820,407473739.6,993633,179979,152217,84493,1145925,923723,392897,38366,0,2020,587,2254293745,0,30661307,15767755,1083947,0,7095,4438
CC between 70% to <100%,Bank Transfer & Card Distribution,Week,2024-06-29,2024-06-29,FY24,6,854.036701,269.288518,638.3593686,315.2279055,108789,38.17803875,6.637425041,69338,1,1,1,1,1,1,1,1,1,1,1,1,3000878495,2510105313,266168663.9,75594,4687369,2875660,263431,1653780749,216244923.6,131054614.2,104463495.6,2506115963,1989275719,787665728.6,2878170,498240,457345,290084,3424640,2531665,1371338,66250,0,1681,940,2045035695,0,17366694,17571731,3301742,0,10464,18240
CC 100%,Bank Transfer & Card Distribution,Week,2024-06-29,2024-06-29,FY24,6,1205.404833,250.09499,873.3983026,304.984008,311266,7.693061116,2.893366561,208690,1,1,1,1,1,1,1,1,1,1,1,1,2369284611,2215255288,0,216466,3155587,2132047,0,1306262086,275825766.8,35546094.64,26955221.78,1981971558,1389544795,799643286.8,1566432,688029,79799,43717,2051824,1316949,1265446,154405,0,41219,13510,1377482476,102,148117762,73757786,2036334,76,72433,45470
Non-MAIP & Mixed ACH 100%,Bank Transfer & Card Distribution,Week,2024-06-29,2024-06-29,FY24,6,4488.481521,549.847229,3236.655538,1036.002497,144841,5.981979159,0.7188172872,93198,1,1,1,1,1,1,1,1,1,1,1,1,2835455455,0,2221127259,97440,928954,0,519582,1730644164,104689532.8,130124885.3,118611649,2548465243,2316603064,211990732.2,583438,70659,95230,63544,675605,591015,147048,70539,0,16902,4110,1821406439,8,154507332,45754115,595528,6,26448,9492
Other Mixed,Managed Pay & Batch Processing,Week,2024-06-29,2024-06-29,FY24,6,1681.214408,346.665062,1228.479333,410.7951036,724383,14.26637986,3.264892808,469785,1,1,1,1,1,1,1,1,1,1,1,1,13918266581,6144640904,5464098514,500242,12217386,6020575,1846573,7797212880,889101144,489599159.6,420804937.2,11417184489,9639240679,2574934813,6889914,1577906,938237,559721,8820502,6280108,3627180,366343,0,62435,19899,8674998518,113,370468423,172875838,8076138,84,125981,84137
Batch Auto-Entry,Managed Pay & Batch Processing,Week,2024-06-29,2024-06-29,FY24,6,2087.045591,528.15286,null,null,0,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Mixed,Managed Pay Subscribers,Month,2024-06-30,2024-06-30,FY24,6,1566.953154,360.321775,1254.429001,399.3290553,698840,14.64173976,3.291180872,465454,1,1,1,1,1,1,1,1,1,1,1,1,13092148099,5927365000,5378956734,475173,11576295,5818524,1760910,7524728130,858493008,498656686.4,416278918.5,11508429977,9140329525,2475351108,7050623,1613399,927414,558727,8239183,6313561,3567767,363457,0,61536,19693,8813751482,119,367746630,162335858,8026812,91,126511,84767
100% Mobile TPV,Digital Platform Distribution,Month,2024-06-30,2024-06-30,FY24,6,1236.149805,339.320876,903.0615647,null,65798,8.036712803,0,41828,1,1,1,1,1,1,1,1,1,1,1,1,451007158.9,277257304,128745548,43681,500967,280847,49086,275629388.9,0,4528.18,3663,442506872.9,368166129.7,33593283.37,346990,0,6,5,469823,369066,40444,31503,0,7597,2202,284923156,0,27029278,9056048,321598,0,12097,4875
Cross-Platform Blended,Digital Platform Distribution,Month,2024-06-30,2024-06-30,FY24,6,1241.071393,279.099483,892.8951539,244.0130104,18137,16.95111696,0.2632915971,10970,1,1,1,1,1,1,1,1,1,1,1,1,273530211,147388504.8,83772784.86,12101,294404,163291,33944,160998325.6,1028451.78,3942723.05,3707355.99,258926753.3,215274173.3,26298976.47,200303,3186,19556,13722,249955,203839,40661,9831,0,816,292,176213057,0,5554863,2133487,195706,0,2556,1524
70% to <100% Mobile TPV,Digital Platform Distribution,Month,2024-06-30,2024-06-30,FY24,6,1033.37275,247.82749,726.2472481,234.9471912,12838,20.21780807,0.5286831095,7592,1,1,1,1,1,1,1,1,1,1,1,1,191738349.7,115887919.6,48598538.87,8342,249100,141605,23063,114838213.1,1419057.05,690923.23,655416.23,176332495.5,139484465.3,25672042.7,173479,4429,3359,2423,230472,168335,39669,7055,0,390,251,126682584,0,3055760,1538034,176936,0,1331,1541
100% Web TPV,Digital Platform Distribution,Month,2024-06-30,2024-06-30,FY24,6,1918.055688,333.624905,1425.64527,null,537372,13.07529058,0,327330,1,1,1,1,1,1,1,1,1,1,1,1,9339196845,3869844084,4135737703,343509,6348179,2933361,1167778,5974969114,0,386185700.5,332805585,8692133454,7069426844,1195498596,4604345,0,563960,332595,5406504,4024071,1154856,258916,0,50943,14807,6144381045,0,304427167,123789797,4387490,0,90626,52205
70% to <100% Web TPV,Digital Platform Distribution,Month,2024-06-30,2024-06-30,FY24,6,1065.8131,271.222285,825.0590707,296.331206,54285,39.46212793,4.615008406,32850,1,1,1,1,1,1,1,1,1,1,1,1,1760401527,890759788,568991700.7,35058,2271283,1197778,278989,996200011.2,64753727,82941874.47,68076797.99,1466597283,1131970785,441264462.7,1472860,163958,260116,162144,1638073,1147517,698277,31233,0,866,838,1190253058,0,8921780,13000684,1585368,0,4429,10986
Unclassified,Digital Platform Distribution,Month,2024-06-30,2024-06-30,FY24,6,1047.102971,363.486952,599.1840298,413.7177079,23500,16.34489148,40.30902468,32577,1,1,1,1,1,1,1,1,1,1,1,1,983431958.1,602786120.8,280947574.6,34121,2151316,1172909,261606,135229303.6,820937881.6,23469529.37,20392981.07,182984065.5,265435377,771629175.4,261284,1384242,76774,50395,277497,270783,1548371,27102,0,2628,1316,684059898,116,12385864,11442224,1486452,90,11733,12940
100% Invoice TPV,Billing & Receipt Channel Mix,Week,2024-07-06,2024-07-06,FY24,7,1491.031782,335.743796,1342.389594,null,657512,13.02999734,0,397585,1,1,1,1,1,1,1,1,1,1,1,1,11217309052,4712512588,4600027695,439403,7922681,3859477,1303889,6529527181,0,409977059.3,354054773.6,9835766233,8449475335,1344615763,5442188,0,665910,408038,7062896,5306408,1326481,330091,0,57832,16525,7248744239,0,342235984,133735443,5272032,0,108422,53923
70% to <100% Invoice TPV,Billing & Receipt Channel Mix,Week,2024-07-06,2024-07-06,FY24,7,787.9546209,248.72302,719.5296997,273.3852493,28441,53.25280353,9.851007748,17210,1,1,1,1,1,1,1,1,1,1,1,1,1060722824,599920238.5,328561416.6,19124,1634608,840161,190204,592905689,70952211.61,71011069.44,56861236.01,882916697.3,619498532.5,371376524,932760,185635,202990,124521,1071454,702668,660269,16017,0,335,613,727693395,0,2936341,8851601,1093932,0,2887,6804
Other Mixed,Billing & Receipt Channel Mix,Week,2024-07-06,2024-07-06,FY24,7,937.487884,349.404374,573.7147699,354.9074981,21829,15.85066324,62.76595212,14417,1,1,1,1,1,1,1,1,1,1,1,1,670202566,386508913.6,175570082.6,15858,1613655,860114,189875,118318100.5,449875225.6,22383766.95,19555818.85,164134128.2,155428624.9,505490525.3,239657,930768,71257,45055,249502,204163,1148047,13799,0,420,361,434935499,96,3002935,4421296,1106311,77,5056,7432
100% SR TPV,Billing & Receipt Channel Mix,Week,2024-07-06,2024-07-06,FY24,7,5059.848605,335.536618,null,546.095541,0,null,24.01555788,16878,1,1,1,1,1,1,1,1,1,1,1,1,316338156,190007299.7,88425592.35,18223,549167,302858,60638,0,331333769.1,0,0,0,90883000.93,241872852.7,0,429289,0,0,0,49576,418547,13633,0,2313,891,201918783,0,9662595,5588725,360691,0,7104,4706
Other Mixed,Managed Pay Subscribers,Week,2024-07-06,2024-07-06,FY24,7,1364.478865,338.905674,1191.318716,395.0746813,715231,15.15103345,3.238314793,458211,1,1,1,1,1,1,1,1,1,1,1,1,12767717031,5643159674,5191554470,473988,12016380,5813231,1792920,7474531394,850778898.8,506693359.5,408852700.1,10882754053,8983921894,2504696595,6771073,1546435,927054,581904,8125921,6110918,3500280,365257,0,62069,18572,8545383232,97,363541731,148699656,7950699,80,124961,73343
All Segments,Aggregate,Week,2024-07-13,2024-07-13,FY24,7,1631.218686,375.600674,1184.818346,393.7881447,718462,14.41084353,3.186933821,450914,1,1,1,1,1,1,1,1,1,1,1,1,13117652039,5666708942,5082150395,492390,11520285,5883918,1781380,7676114887,870489273.3,493614335.6,427010071.1,11102563616,9367711738,2515482028,6829481,1584297,942584,601831,8077139,6012288,3639091,371042,0,62081,17934,8463154860,95,351796622,143622783,7759645,87,122356,72532
70% to <100% Web TPV,Digital Platform Distribution,Week,2024-07-20,2024-07-20,FY24,7,1127.104118,285.783608,765.338317,284.1087237,53548,39.58828956,4.716385089,33493,1,1,1,1,1,1,1,1,1,1,1,1,1707904834,915101865.8,559485629.4,35237,2204160,1176445,273270,990964827.4,65156276.49,90410011.21,75329850.3,1505002515,1084579548,440033880.1,1401567,169018,278696,169824,1658955,1103604,699078,30267,0,934,752,1124753691,0,8919030,9039581,1537409,0,4520,8626
Unclassified,Digital Platform Distribution,Week,2024-07-20,2024-07-20,FY24,7,1192.093449,376.817206,583.9540699,422.8293767,23049,16.47547453,40.87696068,32383,1,1,1,1,1,1,1,1,1,1,1,1,1015608351,593456060.9,278022307.3,34598,2126203,1120756,248616,132473338.1,777757160.9,22998026.24,20666193.54,184860519.4,260135268.2,740111509.4,249380,1431272,74773,48695,268550,266414,1584389,28104,0,2627,1178,665262569,78,11809569,9213595,1430842,61,11332,10639
100% Mobile TPV,Digital Platform Distribution,Week,2024-07-20,2024-07-20,FY24,7,1240.110205,522.229253,867.902096,null,65472,7.68150975,0,40636,1,1,1,1,1,1,1,1,1,1,1,1,435377065.1,253925332.6,115609871.1,42670,491357,269525,48481,269195998.7,0,3387.9,4001.9,420760227,350587236.8,34576499.72,343726,0,4,3,445609,345559,42375,30943,0,6892,1828,262759143,0,24459742,7675911,322607,0,10717,4056
100% Web TPV,Digital Platform Distribution,Week,2024-07-20,2024-07-20,FY24,7,2010.889405,344.267159,1490.893321,null,522307,12.46884062,0,341299,1,1,1,1,1,1,1,1,1,1,1,1,9813046343,3838380882,4206085071,353562,6423567,2883162,1126469,5789715383,0,393847347,326861542.2,8764972815,7321672488,1271969947,4392013,0,574757,359962,5533282,4124660,1195978,257920,0,51069,14098,6334389580,0,311479560,111930648,4225266,0,91496,43035
70% to <100% Mobile TPV,Digital Platform Distribution,Week,2024-07-20,2024-07-20,FY24,7,1080.575717,256.356188,795.3756116,215.975698,11936,19.62505002,0.5395833125,7376,1,1,1,1,1,1,1,1,1,1,1,1,181542422.6,105877377.8,51720670.59,8010,226642,135597,21737,113751993.7,1285896.93,760865.68,691034.62,173122884,135792876.3,25217642.86,156330,4038,3503,2519,213347,152964,39973,6512,0,337,213,125540997,0,3305961,1284986,162486,0,1166,1167
Cross-Platform Blended,Digital Platform Distribution,Week,2024-07-20,2024-07-20,FY24,7,1375.387467,195.763172,901.5467009,261.9933284,17141,16.28271945,0.2499646761,10619,1,1,1,1,1,1,1,1,1,1,1,1,262201125.8,136096848.7,77525256.02,11498,276331,150613,32416,149756295.3,1109858.7,3900667.27,3678659.73,239971862.2,190572975.2,26126001.1,193314,3065,18089,12740,236518,179521,38146,9199,0,677,264,167800383,0,4477569,1786643,185343,0,2182,1709
Other Mixed,Managed Pay Subscribers,Month,2024-07-31,2024-07-31,FY24,7,1621.149772,356.186921,1256.505709,397.449345,709921,14.34652227,3.168179978,459523,1,1,1,1,1,1,1,1,1,1,1,1,13709591597,5749463714,5402094410,489071,11962865,6028728,1883324,7438244867,863361638.2,521562877.5,439602188.5,11603486336,9217365054,2531967211,7022022,1527754,963902,608296,8521945,6249759,3639201,375738,0,63941,18520,8926838995,112,385771457,146684333,8182504,75,134190,66547
Unclassified,Bank Transfer & Card Distribution,Week,2024-08-17,2024-08-17,FY25,8,2738.526084,427.587107,5049.091082,515.0646781,11,1,null,0,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,36276.13,775,0,0,57879.24,50782.93,1149,9,1,0,0,12,8,4,0,0,0,0,0,0,0,0,0,0,0,0
Bank & Card Blended,Bank Transfer & Card Distribution,Week,2024-08-17,2024-08-17,FY25,8,1770.420755,345.125167,1288.107936,493.1704516,74923,19.97738362,3.550015996,49077,1,1,1,1,1,1,1,1,1,1,1,1,2053139542,941425067.3,761899216.6,49707,1648346,731569,362468,1123809677,129164422,99042982.14,79602888.09,1684634819,1466480146,367559586.9,1047120,182716,158978,94571,1215320,960599,440794,44838,0,2380,662,1354517023,0,21263018,10016995,1183935,0,8915,4860
ACH between 70% to <100%,Bank Transfer & Card Distribution,Week,2024-08-17,2024-08-17,FY25,8,3073.878303,454.290995,2209.507792,668.2490323,68018,21.4440548,3.881982507,41978,1,1,1,1,1,1,1,1,1,1,1,1,3302103745,328098117.8,2167662125,43790,1549099,247495,687323,1825127038,163146581.4,116080279.4,98183916.89,2863702629,2425047107,387483471.7,926023,176822,160433,89497,1135619,877621,386250,38981,0,1917,502,2132980806,0,29073767,11280026,1088196,0,6694,3697
CC between 70% to <100%,Bank Transfer & Card Distribution,Week,2024-08-17,2024-08-17,FY25,8,871.2200109,257.514643,640.7604436,294.3783671,109531,38.31776712,6.564691154,66977,1,1,1,1,1,1,1,1,1,1,1,1,2965623097,2390972546,264410400.7,70127,4525094,2796295,270159,1670763281,209683911.3,135029513.6,103353901.5,2405468837,1813906115,808400313.5,2803079,494113,459182,284830,3223818,2518542,1347552,61790,0,1611,684,1900439851,0,18302066,12446208,3160059,0,12279,12318
CC 100%,Bank Transfer & Card Distribution,Week,2024-08-17,2024-08-17,FY25,8,1220.651023,269.072398,897.3590755,296.0576318,309340,7.693997561,2.889742479,212680,1,1,1,1,1,1,1,1,1,1,1,1,2314515238,2232148844,0,217162,3100614,2145519,0,1245614610,271459902.2,34678035.71,26585936.35,1979347382,1399294068,811280805.2,1547497,657685,79390,45269,2038560,1259122,1334434,155774,0,41999,12618,1397410893,63,154804041,65717924,1979089,54,78063,37741
Non-MAIP & Mixed ACH 100%,Bank Transfer & Card Distribution,Week,2024-08-17,2024-08-17,FY25,8,4611.945971,604.237037,3400.453617,1041.945964,144441,5.947378618,0.7145899962,91189,1,1,1,1,1,1,1,1,1,1,1,1,2897966868,0,2212696798,96785,911400,0,513666,1713178007,102734790.3,128639967,121133708.2,2545953731,2451587294,175692458.6,579153,74264,100945,66816,676179,605987,145654,70905,0,17808,3797,1863746553,17,156124153,42417953,619307,11,28201,7479
Other Mixed,Managed Pay & Batch Processing,Week,2024-08-17,2024-08-17,FY25,8,1658.774519,350.375677,1244.889469,391.3086594,697760,15.00550934,3.219225238,469174,1,1,1,1,1,1,1,1,1,1,1,1,13394486677,5761287251,5487754252,495861,11723008,5913388,1783433,7585421054,898403339.6,499724496.9,421876183.4,11223748625,9378691628,2459479436,6868039,1595848,956902,589978,8190368,6136273,3631744,369379,0,63899,18056,8571397264,80,367275869,147255813,8242042,66,131921,66557
Batch Auto-Entry,Managed Pay & Batch Processing,Week,2024-08-17,2024-08-17,FY25,8,7419.256889,521.7722,null,null,0,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Mixed,Managed Pay & Batch Processing,Month,2024-08-31,2024-08-31,FY25,8,1627.10422,376.514033,1204.998102,390.7604562,693245,14.6684557,3.229683982,457435,1,1,1,1,1,1,1,1,1,1,1,1,13742923700,6102398172,5484464261,476580,11806958,5934055,1849842,7889224372,869614801.5,518016740.4,438500584.6,11914932928,9569468025,2539640219,7197197,1594319,975945,585200,8508847,6274578,3541916,363974,0,67764,18143,8924581927,81,389834910,137681406,7904698,70,146235,67755
Batch Auto-Entry,Managed Pay & Batch Processing,Month,2024-08-31,2024-08-31,FY25,8,5015.236921,465.973891,null,null,0,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Mixed,Managed Pay & Batch Processing,Week,2024-08-31,2024-08-31,FY25,8,1656.533842,339.23359,1243.729418,411.0956458,704351,14.86165274,3.240507429,468123,1,1,1,1,1,1,1,1,1,1,1,1,13774087126,6143112536,5291907431,503689,11992922,6052232,1814096,7632140941,907569354.8,498637410,436330580.7,11584900114,9422886698,2578006102,6927003,1586225,930803,596578,8589634,6294917,3687976,365171,0,69436,17776,8935594639,79,397489487,142197922,8026979,69,145412,65128
Batch Auto-Entry,Managed Pay & Batch Processing,Week,2024-08-31,2024-08-31,FY25,8,1789.0705,482.4289,null,null,0,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Mixed,Managed Pay Subscribers,Week,2024-09-14,2024-09-14,FY25,9,1715.774508,386.6545,1208.437956,403.6673132,693993,14.80105517,3.239397972,452321,1,1,1,1,1,1,1,1,1,1,1,1,13175221899,5908159072,5261601943,477712,11670257,5977401,1845849,7747873903,875155430,524556470.4,454303004.8,11886780116,9573812176,2432289909,7170894,1584696,965855,607370,8421284,6452439,3574844,367729,0,67124,17698,8699837835,128,368489048,137583691,8284310,77,137929,64741
Growing (12-24 months),New Acquisition Cohort,Week,2024-09-28,2024-09-28,FY25,9,1858.356327,376.403296,1262.901201,419.8623247,131173,12.53641223,2.000187891,82193,1,1,1,1,1,1,1,1,1,1,1,1,2144680855,943727326.8,817126283.5,85483,1735345,907848,239629,1217897492,106884848.2,69378611.79,59288455.06,1858874530,1543986999,303017707.8,1085453,181777,122955,80866,1273318,973573,427436,69911,0,13608,0,1378401553,8,74243924,0,1210070,7,28979,0
Unclassified,New Acquisition Cohort,Week,2024-09-28,2024-09-28,FY25,9,2355.4607,426.71671,2082.040012,427.7504537,2169,10.28338181,4.547365625,1410,1,1,1,1,1,1,1,1,1,1,null,null,51230281.47,26783564.01,17466322.09,1522,38592,21837,3394,28586187.77,4296870.02,555453.87,369803.12,42173801,35577112.49,8700196.22,15267,7014,1275,609,20234,15902,9952,1087,0,0,0,33331185,1,0,0,24376,1,0,0
New (0-12 months),New Acquisition Cohort,Week,2024-09-28,2024-09-28,FY25,9,1656.982305,416.612897,1210.851708,421.5245753,171131,8.764932555,1.490190415,109621,1,1,1,1,1,1,1,1,1,1,1,1,1866246114,1007023255,599616817,118322,1724433,929694,200162,1103230075,106775867.3,48975766.51,44319899.63,1702124387,1406313061,303265856.6,1034624,183350,106341,65844,1282262,986560,419564,79260,0,16976,17380,1126239397,47,83664382,136128165,1079430,39,32713,63770
Established (24+ months),New Acquisition Cohort,Week,2024-09-28,2024-09-28,FY25,9,1663.567582,312.197137,1199.885812,388.5814558,414318,17.28386581,4.240678193,261155,1,1,1,1,1,1,1,1,1,1,1,1,9790885438,3902879710,4045758117,286397,8655907,4114584,1380700,5337865990,652293303.7,418661222.1,340872071.7,8005262937,6663713640,1933930672,4787667,1221501,806452,463195,5714065,4268190,2717129,229988,0,35647,0,6464852153,93,220268109,0,5845686,41,74773,0
New (0-12 months),New Acquisition Cohort,Month,2024-09-30,2024-09-30,FY25,9,1629.58326,372.902971,1230.099802,431.6173211,168789,9.055343234,1.521200063,113976,1,1,1,1,1,1,1,1,1,1,1,1,1913019430,998953717.5,584662377.4,114999,1666551,875481,191129,1095404296,105335695.8,49632069.15,44087337.91,1609687278,1326221799,292599400.9,998910,182381,103899,69379,1276661,944952,417885,76883,0,16836,16769,1117643373,39,81488978,135217906,1066748,32,31302,59160
Established (24+ months),New Acquisition Cohort,Month,2024-09-30,2024-09-30,FY25,9,1597.023872,303.969143,1245.002089,392.1733698,408699,17.41814063,4.136748066,272992,1,1,1,1,1,1,1,1,1,1,1,1,9506369566,3998571933,3847968051,288396,8516594,4044064,1378858,5341090648,658623628.7,409652224.4,345167512.9,7883051836,6553866656,1894635226,4959493,1275617,787749,476908,5908006,4344324,2793745,229767,0,35258,0,6027523834,91,212203588,0,5685370,40,77026,0
Growing (12-24 months),New Acquisition Cohort,Month,2024-09-30,2024-09-30,FY25,9,1680.078756,382.121699,1329.630742,409.5555022,129149,12.26906528,1.987895611,82640,1,1,1,1,1,1,1,1,1,1,1,1,2071066734,918199022.6,806665656.1,87453,1743262,895822,239280,1162529017,102958214.3,68747558.47,61040852.95,1825525064,1479841598,289713067.5,1014524,175878,129531,79938,1270081,980749,434438,67029,0,13921,0,1341104241,8,73522227,0,1174440,7,27883,0
Unclassified,New Acquisition Cohort,Month,2024-09-30,2024-09-30,FY25,9,2184.018717,456.58637,1969.558594,424.1644901,2170,10.66343663,4.443343761,1431,1,1,1,1,1,1,1,1,1,1,null,null,49408329.6,24970144.32,16881796.44,1485,35984,21681,3152,26050953.24,4099366.01,576946.83,392453.32,42167561.68,34114267.99,8463936.08,15086,6905,1297,593,18972,15687,9504,1124,0,0,0,32195910,1,0,0,24304,1,0,0
100% Invoice TPV,Billing & Receipt Channel Mix,Month,2024-09-30,2024-09-30,FY25,9,1760.408743,321.80551,1378.637709,null,659251,12.99168824,0,421298,1,1,1,1,1,1,1,1,1,1,1,1,11315491277,4563215432,4649379885,445170,7958382,3937788,1336748,6937853770,0,441193906.7,375036663.4,10219251071,8268439657,1358917822,5565434,0,726647,465758,7070364,5235953,1335240,328216,0,63058,14931,7478937413,0,351384248,114354891,5503232,0,115504,45676
Other Mixed,Billing & Receipt Channel Mix,Month,2024-09-30,2024-09-30,FY25,9,1062.943033,360.779763,564.0834777,337.0566491,22211,15.08402802,60.55478983,15275,1,1,1,1,1,1,1,1,1,1,1,1,640129761.3,363622078.6,178626650.7,16054,1645535,875479,190596,119552911.2,446750555.6,24407253.93,21259819.4,164418630.9,155167951.9,475447408.7,233790,996100,73630,48268,244343,202098,1132089,13252,0,506,311,435451866,135,3296528,2743348,1125389,81,8548,4393
